web-scraper-order,web-scraper-start-url,titulo,ano,generos,avaliacao,votos,resumo,link,link-href,tipo,imagem-src
"1662683842-904","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","Her Majesty the Queen: A Gayle King Special","(2022 TV Special)","Documentary, History","null","null","The trumphs and turbulence surrounding Queen Elizabeth II Platinum Jubilee, how she has moved her family and country forward and how painful events of her private life have impacted her.","Her Majesty the Queen: A Gayle King Special","https://www.imdb.com/title/tt20854686/?ref_=adv_li_tt","Especial de TV","null"
"1662683846-905","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","Our Queen","(2013 TV Movie)","Documentary","7,5","42","Feature-length documentary filmed throughout 2012, providing an in-depth portrait of Elizabeth II during her Diamond Jubilee year. Prince Charles and other members of the royal family share...                See full summary »","Our Queen","https://www.imdb.com/title/tt2778302/?ref_=adv_li_tt","Filme para televisão","https://m.media-amazon.com/images/M/MV5BNzE5NzY3NTQ1N15BMl5BanBnXkFtZTgwMzg3Nzc3NTE@._V1_QL75_UY281_CR11,0,190,281_.jpg"
"1662683849-906","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","Queen & Country","(2012– )","Documentary","7,8","19","England marks Queen Elizabeth II's Diamond Jubilee.","Queen & Country","https://www.imdb.com/title/tt2233972/?ref_=adv_li_tt","Minissérie de televisão","https://m.media-amazon.com/images/M/MV5BNDkyNjU3ODYxOV5BMl5BanBnXkFtZTcwNzM5ODk2Nw@@._V1_QL75_UY281_CR46,0,190,281_.jpg"
"1662683853-907","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","The Diamond Queen","(2012)","Documentary","7,2","85","A landmark documentary series to mark the 60th year of HM Queen Elizabeth II's reign, filmed over a year and a half.","The Diamond Queen","https://www.imdb.com/title/tt2205653/?ref_=adv_li_tt","Minissérie de televisão","https://m.media-amazon.com/images/M/MV5BMTkyNTMyOTkyNV5BMl5BanBnXkFtZTcwMzQ3NzgzNw@@._V1_QL75_UY281_CR155,0,190,281_.jpg"
"1662683857-908","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","Queen Elizabeth II: The Diamond Celebration","(2012)","Documentary, Biography","6,5","104","This feature length HD documentary of Queen Elizabeth II's reign is packed with rare archive footage and expert commentary from Robert Lacy, Nicholas Owen, Tim Heald, Ingrid Seward, Gyles Brandreth.","Queen Elizabeth II: The Diamond Celebration","https://www.imdb.com/title/tt2609776/?ref_=adv_li_tt","20122012","https://m.media-amazon.com/images/M/MV5BMjI2NjgzMDY2NV5BMl5BanBnXkFtZTgwMzgxODQzMzE@._V1_QL75_UY281_CR4,0,190,281_.jpg"
"1662683861-909","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","Queen Elizabeth II: The Unlikely Queen","(2021)","Documentary","null","null","Queen Elizabeth II, the cornerstone of modern British history and reigning monarch for over six decades. She has seen the world change drastically during her time as Queen. Her inscrutable ...                See full summary »","Queen Elizabeth II: The Unlikely Queen","https://www.imdb.com/title/tt14547554/?ref_=adv_li_tt","20212021","https://m.media-amazon.com/images/M/MV5BZjEzYjAyZmItMWI2Yy00NWIyLThmY2EtZjBmYzBhY2M3ZDJlXkEyXkFqcGdeQXVyNjc1OTk4NjA@._V1_QL75_UX190_CR0,2,190,281_.jpg"
"1662683864-910","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","Chic & Classic: Queen Elizabeth II","(2022)","Documentary, Short","null","null","Queen Elizabeth II is one of the most famous women in the world, and, although she may not be thought of as a trend-setter or trailblazer in the fashion world, if asked to define style - the Queen is the perfect example.","Chic & Classic: Queen Elizabeth II","https://www.imdb.com/title/tt21874776/?ref_=adv_li_tt","20222022","null"
"1662683867-911","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","A Queen Is Crowned","(1953)","Documentary, History","7,0","118","A lavish documentary film of Queen Elizabeth II's Coronation in 1953.","A Queen Is Crowned","https://www.imdb.com/title/tt0046222/?ref_=adv_li_tt","19531953","https://m.media-amazon.com/images/M/MV5BZmVjY2NhN2YtZTcwZi00Y2Y1LTliMjEtZjg0ODlhOGQ1YTJmXkEyXkFqcGdeQXVyMjIyNjE2NA@@._V1_QL75_UY281_CR1,0,190,281_.jpg"
"1662683871-912","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","Kings and Queens","(2002– )","Documentary, Biography, History","7,2","22","Mini-biographies of key British monarchs and how their actions changed history.","Kings and Queens","https://www.imdb.com/title/tt0423679/?ref_=adv_li_tt","Minissérie de televisão","https://m.media-amazon.com/images/M/MV5BMjY0ODI2YWEtNjVhZC00YjQ2LTg2YzQtOTgyM2Y4MTNmNGM5XkEyXkFqcGdeQXVyMTI4MjY2MQ@@._V1_QL75_UY281_CR5,0,190,281_.jpg"
"1662683874-913","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","The Queen and Her Prime Ministers","(2012 TV Movie)","Documentary, Biography, History","6,5","16","No other head of state has been in power for as long as Queen Elizabeth of the United Kingdom, no other ruler has had such a lasting impact on our epoch. We investigate the fine balance of ...                See full summary »","The Queen and Her Prime Ministers","https://www.imdb.com/title/tt2196776/?ref_=adv_li_tt","Filme para televisão","https://m.media-amazon.com/images/M/MV5BYzQxNWMwY2YtODNjZS00YWQ5LTg1OWQtYTliNDg0ZDY0NjE1XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_QL75_UY281_CR11,0,190,281_.jpg"
"1662683877-914","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","Queen Elizabeth II: Above All Else","(2022)","Documentary","null","null","Queen Elizabeth II. Reigning monarch for over six decades, and the cornerstone of modern British history. Ascending to the throne after the untimely death of her beloved father, King George...                See full summary »","Queen Elizabeth II: Above All Else","https://www.imdb.com/title/tt16254016/?ref_=adv_li_tt","20222022","https://m.media-amazon.com/images/M/MV5BY2Y5MmMzODYtMjcwOS00ZDAyLWFlOGYtOWMzZjgwNjE1NzA2XkEyXkFqcGdeQXVyNjc1OTk4NjA@._V1_QL75_UX190_CR0,2,190,281_.jpg"
"1662683881-915","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","Queen of the World","(2018– )","Documentary, History","6,0","87","A rare look inside the life of Queen Elizabeth II, featuring footage from the Queen's private film archive, as complex preparations for the traditional royal summit with all 53 member states of the British Commonwealth begin.","Queen of the World","https://www.imdb.com/title/tt8994940/?ref_=adv_li_tt","Minissérie de televisão","https://m.media-amazon.com/images/M/MV5BZjM4YTNmYTQtOTRmZS00NzEyLWIyYTktNzYxYzE2NDhlMzZiXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_QL75_UX190_CR0,5,190,281_.jpg"
"1662683884-916","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","The Queen","(2009)","Drama, History","7,3","145","This docudrama focuses on five key events in the reign of Queen Elizabeth II. Combining narration, interviews, archival footage and dramatic recreations (with 5 different actresses ...                See full summary »","The Queen","https://www.imdb.com/title/tt1365539/?ref_=adv_li_tt","Série de TV","https://m.media-amazon.com/images/M/MV5BNzA1MDM1NzU3MF5BMl5BanBnXkFtZTgwMzQ1MzcwMzE@._V1_QL75_UY281_CR93,0,190,281_.jpg"
