web-scraper-order,web-scraper-start-url,numero,titulo,ano,estrelas,resumo,votos,link,link-href,nota,total,votos_avaliacao,foto-src,generos
"1662748839-132","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=2&sort=moviemeter,asc","86.","Hot Spots 2012","(2012 TV Movie)","9,1","Johnny Jet visits travel spots that will be ""hot"" in 2012: Belize, London, Leavsden Studios, Southampton, New York City, New Zealand, Necker Island, and Spaceport America.","null","Hot Spots 2012","https://www.imdb.com/title/tt2186815/?ref_=kw_li_tt","9,1","/10","11","null","Documentary"
"1662748843-133","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=2&sort=moviemeter,asc","85.","Rifftrax: The Wizard of Oz","(2014 Video)","null","Our most ""not in Kansas anymore"" release since Avatar. Yes, after years of riffing blockbusters packed with dialogue cliches, we finally went to the source, the motherlode, the true ...                See full summary »","null","Rifftrax: The Wizard of Oz","https://www.imdb.com/title/tt17071864/?ref_=kw_li_tt","","","","https://m.media-amazon.com/images/M/MV5BNTNhNThiMzMtNWFmMC00NWUyLTg2MGMtZjVjYjZkNTg2OTY4XkEyXkFqcGdeQXVyNDkwMzY5NjQ@._V1_QL75_UY281_CR10,0,190,281_.jpg","Comedy, Fantasy, Music"
"1662748846-134","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=2&sort=moviemeter,asc","84.","Die Reise zum sichersten Ort der Erde","(2013)","6,6","Over 350,000 tons of highly radioactive waste and spent fuel rods are in temporary storage on site at nuclear power complexes and at intermediate storage sites all over the world. More than...                See full summary »","null","Die Reise zum sichersten Ort der Erde","https://www.imdb.com/title/tt2979302/?ref_=kw_li_tt","6,6","/10","72","https://m.media-amazon.com/images/M/MV5BMTA1ODEwODMzNzheQTJeQWpwZ15BbWU4MDMxNjU1NjYx._V1_QL75_UY281_CR11,0,190,281_.jpg","Documentary"
"1662748850-135","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=2&sort=moviemeter,asc","83.","Le train d'Hitler: bête d'acier","(2016)","6,3","At the end of the 1930s, Hitler ordered the construction of a special train that could transport him around safely and appease his growing paranoia. A veritable fortress on rails, this ...                See full summary »","null","Le train d'Hitler: bête d'acier","https://www.imdb.com/title/tt7650378/?ref_=kw_li_tt","6,3","/10","481","https://m.media-amazon.com/images/M/MV5BNTNiMTkxNzctM2NiYi00Y2FmLWJkMTYtZmY3YzY1NjZmMDk1XkEyXkFqcGdeQXVyNzQ1MTExMDU@._V1_QL75_UY281_CR4,0,190,281_.jpg","Documentary, History"
"1662748853-136","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=2&sort=moviemeter,asc","81.","Lord Mountbatten: Hero or Villain?","(2020 TV Movie)","null","When Louis Mountbatten, the Queen's cousin and Prince Philip's uncle, was murdered by the IRA in 1979 he was lauded as a war hero, elder statesman and much-loved member of the royal family. Did the public perception disguise the truth?","null","Lord Mountbatten: Hero or Villain?","https://www.imdb.com/title/tt13646058/?ref_=kw_li_tt","","","","https://m.media-amazon.com/images/M/MV5BNGJhNWM0ODEtMDE4YS00MzFhLTk2MTctM2FiOWU3OGIzMTZhXkEyXkFqcGdeQXVyMTI1MTc5NjIz._V1_QL75_UX190_CR0,2,190,281_.jpg","Documentary, History"
"1662748857-137","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=2&sort=moviemeter,asc","80.","Elizabeth II: Segredos da Monarquia Britânica","(2020 TV Movie)","6,2","Add a Plot","null","Elizabeth II: Segredos da Monarquia Britânica","https://www.imdb.com/title/tt13237134/?ref_=kw_li_tt","6,2","/10","81","https://m.media-amazon.com/images/M/MV5BNzNiMzA1NmItYzliMy00ODE4LTkwZjAtNTJjYWZhMzNmMGY0XkEyXkFqcGdeQXVyMTE4NDg2NjQ@._V1_QL75_UY281_CR11,0,190,281_.jpg","Documentary"
"1662748860-138","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=2&sort=moviemeter,asc","79.","New Elizabethans with Andrew Marr","(2020)","7,2","The broadcaster charts the changes in British society during the reign of Queen Elizabeth II which have transformed the country from the rigid, class-obsessed Britain of the 1950s to today's more liberal, inclusive society.","null","New Elizabethans with Andrew Marr","https://www.imdb.com/title/tt13586604/?ref_=kw_li_tt","7,2","/10","22","https://m.media-amazon.com/images/M/MV5BM2E3NmMzOWUtMzkwNC00YjU3LWE3OWEtNDg2Y2ZmMGZiNTkzXkEyXkFqcGdeQXVyMTY2NTEyMTY@._V1_QL75_UY281_CR155,0,190,281_.jpg","Documentary, History"
"1662748864-139","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=2&sort=moviemeter,asc","78.","I Have 3 Eggs","(1990)","6,7","A MALE TRIO ATTEMPTS TO WIN THE LOVE OF A WOMAN WHO LEAVES HER CHILD WITH THEM","null","I Have 3 Eggs","https://www.imdb.com/title/tt0498172/?ref_=kw_li_tt","6,7","/10","8","https://m.media-amazon.com/images/M/MV5BNjdjYTM2NzYtMWEyOS00OTFhLTliOTAtYjE0YmNlZDc0NDBjXkEyXkFqcGdeQXVyODk2MzAxODI@._V1_QL75_UX190_CR0,2,190,281_.jpg","Comedy"
"1662748868-140","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=2&sort=moviemeter,asc","77.","Nova Guiné A Ilha Dos Canibais","(1974)","5,5","Add a Plot","null","Nova Guiné A Ilha Dos Canibais","https://www.imdb.com/title/tt0904060/?ref_=kw_li_tt","5,5","/10","51","https://m.media-amazon.com/images/M/MV5BOGJkYTcxMTYtMzkxMi00ZGZiLWFlNWUtMDhjZDQ3NmUyMWVkXkEyXkFqcGdeQXVyNjUzNzQ4NDQ@._V1_QL75_UX190_CR0,6,190,281_.jpg","Documentary, Horror"
"1662748871-141","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=2&sort=moviemeter,asc","76.","Audience u královny","(2021 TV Movie)","null","Add a Plot","null","Audience u královny","https://www.imdb.com/title/tt14651648/?ref_=kw_li_tt","","","","https://m.media-amazon.com/images/M/MV5BOGYxNTA1NWYtMGUzYi00NTE1LWI3YTAtMWJmMzk4ZWU4YWY3XkEyXkFqcGdeQXVyMjIxMzMyMQ@@._V1_QL75_UY281_CR11,0,190,281_.jpg","Biography, Comedy, Drama"
"1662748875-142","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=2&sort=moviemeter,asc","75.","The Queen Mother","(2021)","null","Documentary mini-series looking at the life of Elizabeth Angela Marguerite Bowes-Lyon, who married George VI and was later known as the Queen Mother when her daughter Elizabeth ascended to the throne.","null","The Queen Mother","https://www.imdb.com/title/tt14708554/?ref_=kw_li_tt","","","","null","Documentary, Biography, History"
"1662748878-143","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=2&sort=moviemeter,asc","74.","Darcey Bussell's Royal Road Trip","(2022)","null","Dame Darcey Bussell follows in the footsteps of the Queen, as she explores breathtaking locations that have shaped our monarch's identity.","null","Darcey Bussell's Royal Road Trip","https://www.imdb.com/title/tt21332380/?ref_=kw_li_tt","","","","null","Documentary"
"1662748882-144","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=2&sort=moviemeter,asc","73.","The Queen and the Coup","(2020 TV Movie)","6,9","In 1953, a recently crowned Queen Elizabeth was unwittingly used in a secret attack on Iran's democracy.","null","The Queen and the Coup","https://www.imdb.com/title/tt12482550/?ref_=kw_li_tt","6,9","/10","48","https://m.media-amazon.com/images/M/MV5BM2Y3YmRmMmQtNDk3YS00OGU1LTg0NWItNTYyNTJiMGQ4NDAxXkEyXkFqcGdeQXVyMzQyNjM1Njg@._V1_QL75_UY281_CR155,0,190,281_.jpg","Documentary, Biography, History"
"1662748886-145","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=2&sort=moviemeter,asc","71.","The Poor Boys","(2012)","6,4","Mac (the muscle) and Sully (the brains) have designed their perfect world. They make their rent money stealing parking meters, faking charity buckets and scamming their gullible neighbors ...                See full summary »","null","The Poor Boys","https://www.imdb.com/title/tt2033427/?ref_=kw_li_tt","6,4","/10","84","https://m.media-amazon.com/images/M/MV5BNDkxMDA1NzQwNl5BMl5BanBnXkFtZTcwNzcwNjc1Ng@@._V1_QL75_UY281_CR5,0,190,281_.jpg","Comedy"
"1662748889-146","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=2&sort=moviemeter,asc","70.","Mical","(2020)","7,7","A seven year old boy struggles to make sense of words on the page. But when Mike is diagnosed with dyslexia and the teachers continue to fail him, his mother takes matters into her own hands to help her son fulfil his true potential.","null","Mical","https://www.imdb.com/title/tt10833240/?ref_=kw_li_tt","7,7","/10","32","https://m.media-amazon.com/images/M/MV5BZjg2NDZlYmMtYzViZC00MzBkLWFhMWUtNTgwNmRiYTE2Y2M2XkEyXkFqcGdeQXVyMTA2OTg3ODE2._V1_QL75_UX190_CR0,4,190,281_.jpg","Short, Biography, Drama"
"1662748893-147","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=2&sort=moviemeter,asc","69.","Naked Fame","(2004)","5,2","Former Colt model and porn star Colton Ford left the skin flick business at 40 to return to a musical career along with his partner Blake Harper. This is is their story.","null","Naked Fame","https://www.imdb.com/title/tt0407031/?ref_=kw_li_tt","5,2","/10","197","https://m.media-amazon.com/images/M/MV5BMTA1ODgzNzc1ODZeQTJeQWpwZ15BbWU3MDI2MjY4MjE@._V1_QL75_UX190_CR0,7,190,281_.jpg","Documentary, Biography, History"
"1662748897-148","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=2&sort=moviemeter,asc","68.","AKA","(2002)","6,2","AKA is the story of a disaffected youth's search for love, status, and identity in late 1970s Britain. 18-year old Dean is handsome and bright, but feels hampered by his working-class ...                See full summary »","null","AKA","https://www.imdb.com/title/tt0317052/?ref_=kw_li_tt","6,2","/10","1,2 mil","https://m.media-amazon.com/images/M/MV5BMTU1MzU2MTI5OF5BMl5BanBnXkFtZTcwMDk3NjYyMQ@@._V1_QL75_UY281_CR2,0,190,281_.jpg","Drama, Romance"
"1662748900-149","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=2&sort=moviemeter,asc","67.","Segredos da Realeza","(2020– )","6,6","Documentary series takes an inside look at the British royal family.","null","Segredos da Realeza","https://www.imdb.com/title/tt9343720/?ref_=kw_li_tt","6,6","/10","23","https://m.media-amazon.com/images/M/MV5BODc0YjFlNTQtNzMxYi00YzllLTljZjktNjY3NzU3YWEwMjM0XkEyXkFqcGdeQXVyMTAwMzM3NDI3._V1_QL75_UX190_CR0,2,190,281_.jpg","Documentary"
"1662748904-150","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=2&sort=moviemeter,asc","66.","The Best Pair of Legs in the Business","(1973)","6,0","With his life crumbling around him in a dingy holiday camp, middle-aged female impersonator Sherry Sheridan stays rooted in the past. But will his son Alan, and long-suffering wife Mary, stay with him?","null","The Best Pair of Legs in the Business","https://www.imdb.com/title/tt0068266/?ref_=kw_li_tt","6,0","/10","239","https://m.media-amazon.com/images/M/MV5BMTk1ODI1NDAwNF5BMl5BanBnXkFtZTgwMjEyODk1MDE@._V1_QL75_UX190_CR0,2,190,281_.jpg","Comedy, Drama"
"1662748908-151","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=2&sort=moviemeter,asc","65.","Havel","(2020)","6,3","'Havel' covers the Czech president's transformation from playwright to politician","null","Havel","https://www.imdb.com/title/tt9471930/?ref_=kw_li_tt","6,3","/10","418","https://m.media-amazon.com/images/M/MV5BMjBjNmZkNjItYzg5ZS00YTA2LWE4MjQtYjkxYTBhZjA1NWViXkEyXkFqcGdeQXVyMjIxMzMyMQ@@._V1_QL75_UY281_CR4,0,190,281_.jpg","Biography, Drama, History"
"1662748911-152","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=2&sort=moviemeter,asc","64.","WrestleMania VII","(1991 TV Special)","6,9","WWF Title: Sgt. Slaughter vs. Hulk Hogan, WWF Intercontinental Title: Mr. Perfect vs. The Big Boss Man, WWF Tag Team Titles: The Hart Foundation vs. The Nasty Boys, Retirement Match: Randy ...                See full summary »","null","WrestleMania VII","https://www.imdb.com/title/tt0252104/?ref_=kw_li_tt","6,9","/10","922","https://m.media-amazon.com/images/M/MV5BOTRlMzQ0MDctMDlmMC00OTA1LTgyYzUtMWUyOTkzMzc0NmFjXkEyXkFqcGdeQXVyODAzNzAwOTU@._V1_QL75_UY281_CR10,0,190,281_.jpg","Action, Sport"
"1662748915-153","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=2&sort=moviemeter,asc","63.","E o Oscar Vai Para ...","(2014 TV Movie)","7,1","The history of the Academy Awards.","null","E o Oscar Vai Para ...","https://www.imdb.com/title/tt3481232/?ref_=kw_li_tt","7,1","/10","1,5 mil","https://m.media-amazon.com/images/M/MV5BNTJhNDY4YzktMzZlMy00NjM4LWJlNjctMjg5M2Y5OTQ2Yjg2XkEyXkFqcGdeQXVyNjU3Nzk5NDA@._V1_QL75_UY281_CR21,0,190,281_.jpg","Documentary, History"
"1662748919-154","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=2&sort=moviemeter,asc","62.","The Callback Queen","(2013)","4,2","In the cut-throat London film industry a vivacious actress chasing her big break struggles to maintain her integrity in the face of the director's advances.","null","The Callback Queen","https://www.imdb.com/title/tt1890559/?ref_=kw_li_tt","4,2","/10","267","https://m.media-amazon.com/images/M/MV5BODEzOThkZTgtMDAzNS00MWZiLTg4NDItYzQ3MzIzZTYzYmM3XkEyXkFqcGdeQXVyNDI3NDUwNw@@._V1_QL75_UY281_CR3,0,190,281_.jpg","Comedy, Romance"
"1662748923-155","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=2&sort=moviemeter,asc","61.","Desejos Ocultos","(1957)","6,3","During the 1950s, a Los Angeles psychiatrist uses hypnosis to treat a 25 year old woman who's suffering from multiple personality disorder.","null","Desejos Ocultos","https://www.imdb.com/title/tt0050650/?ref_=kw_li_tt","6,3","/10","609","https://m.media-amazon.com/images/M/MV5BNGE4ZTBiNDYtMDhmYi00MGRlLWIzZmYtYzQwMzAxMTJlYTRjXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_QL75_UX190_CR0,4,190,281_.jpg","Drama"
"1662748927-156","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=2&sort=moviemeter,asc","60.","Maradona by Kusturica","(2008)","6,7","A documentary on Argentinean soccer star Diego Maradona, regarded by many as the world's greatest modern player.","null","Maradona by Kusturica","https://www.imdb.com/title/tt0454976/?ref_=kw_li_tt","6,7","/10","6,4 mil","https://m.media-amazon.com/images/M/MV5BMzQzOTY5MzI5N15BMl5BanBnXkFtZTcwNjEzMzA2Nw@@._V1_QL75_UY281_CR4,0,190,281_.jpg","Documentary, Sport"
"1662748931-157","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=2&sort=moviemeter,asc","59.","Young Soul Rebels","(1991)","6,1","Youth culture meets identity politics in this part-thriller, part-gay love story set in London in 1977, days before the Queen's Silver Jubilee celebrations. The hedonistic world of pirate ...                See full summary »","null","Young Soul Rebels","https://www.imdb.com/title/tt0103312/?ref_=kw_li_tt","6,1","/10","526","https://m.media-amazon.com/images/M/MV5BMTQxMjAxNzM0Nl5BMl5BanBnXkFtZTYwMzE4Mjg5._V1_QL75_UY281_CR3,0,190,281_.jpg","Drama, Music"
"1662748935-158","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=2&sort=moviemeter,asc","58.","Amar é Minha Profissão","(1958)","6,7","Married French lawyer Andre defends succesfully the case of Yvette, who committed a robbery. He falls in love with her, but she isn't true to him.","null","Amar é Minha Profissão","https://www.imdb.com/title/tt0051579/?ref_=kw_li_tt","6,7","/10","1,4 mil","https://m.media-amazon.com/images/M/MV5BMmZiMWFhNDQtYThhMC00NTAwLTg2MDctY2U4MDZkYWFjYzNlXkEyXkFqcGdeQXVyNTcwNjUwNzk@._V1_QL75_UX190_CR0,2,190,281_.jpg","Crime, Drama, Romance"
"1662748938-159","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=2&sort=moviemeter,asc","57.","Poor Pretty Eddie","(1975)","5,5","A wrong turn on a jazz singer's road trip results in her car breaking down near an isolated lodge run by a faded starlet and a young, homicidal Elvis impersonator.","null","Poor Pretty Eddie","https://www.imdb.com/title/tt0070556/?ref_=kw_li_tt","5,5","/10","864","https://m.media-amazon.com/images/M/MV5BNTg1ZjRiOWMtMjA0Yy00MGI1LTkwNTktY2ZmNzI3MjlhOWNlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_QL75_UX190_CR0,1,190,281_.jpg","Crime, Horror, Thriller"
"1662748943-160","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=2&sort=moviemeter,asc","56.","Uma Noiva para Dois","(1971)","6,9","Amedeo is a poor Italian immigrant living in Australia for twenty years. Seeking to marry an Italian wife, he corresponds with Carmela, a pretty girl from Rome. They do not reveal their ...                See full summary »","null","Uma Noiva para Dois","https://www.imdb.com/title/tt0066824/?ref_=kw_li_tt","6,9","/10","1,1 mil","https://m.media-amazon.com/images/M/MV5BNjdlNmExMzUtMzM3OC00OGI4LWJmYWQtNDE5MzNmZjAwNzE1XkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_QL75_UY281_CR4,0,190,281_.jpg","Comedy"
"1662748947-161","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=2&sort=moviemeter,asc","55.","Seymour: An Introduction","(2014)","7,5","Meet Seymour Bernstein: a beloved pianist, teacher and true inspiration who shares eye-opening insights from an amazing life. Ethan Hawke helms this poignant guide to life.","null","Seymour: An Introduction","https://www.imdb.com/title/tt2219650/?ref_=kw_li_tt","7,5","/10","1,1 mil","https://m.media-amazon.com/images/M/MV5BODg4MDA4MjA5N15BMl5BanBnXkFtZTgwMzI0MTU1NDE@._V1_QL75_UX190_CR0,0,190,281_.jpg","Documentary, Biography, Music"
"1662748950-162","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=2&sort=moviemeter,asc","54.","As Malícias do Amor","(1964)","5,5","A Russian spy is supposed by the British Secret Service to steal some faked orders, but he is to stupid to succeed. His girlfriend tries to help him, but it seems he is to foolish to succeed.","null","As Malícias do Amor","https://www.imdb.com/title/tt0058703/?ref_=kw_li_tt","5,5","/10","390","https://m.media-amazon.com/images/M/MV5BNzBjMzhmMGItNDBhZi00ZWM0LTgyOTktMjJhZjg0MDliZmU4XkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_QL75_UY281_CR13,0,190,281_.jpg","Comedy"
"1662748954-163","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=2&sort=moviemeter,asc","53.","A Lembrança de Anne Frank","(1995)","8,1","Using previously unreleased archival material in addition to contemporary interviews, this academy award-winning documentary tells the story of the Frank family and presents the first ...                See full summary »","null","A Lembrança de Anne Frank","https://www.imdb.com/title/tt0112373/?ref_=kw_li_tt","8,1","/10","1,2 mil","https://m.media-amazon.com/images/M/MV5BNGZjNzg2MzMtNzJiZi00YTMxLWEwNGMtZGI0ODBiN2RmMGRiXkEyXkFqcGdeQXVyMzExODEzNDA@._V1_QL75_UX190_CR0,0,190,281_.jpg","Documentary, Biography, War"
"1662748958-164","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=2&sort=moviemeter,asc","52.","Capricho à Italiana","(1968)","6,4","The film consists of six short stories created by different directors, but all the stories share one thing: a warm irony to current events.","null","Capricho à Italiana","https://www.imdb.com/title/tt0062779/?ref_=kw_li_tt","6,4","/10","573","https://m.media-amazon.com/images/M/MV5BN2Q1OGMxMzctYTA1OS00ZWQ1LTliNDctZGVjMzJkNWVjN2JjXkEyXkFqcGdeQXVyMzIzNDU1NTY@._V1_QL75_UY281_CR4,0,190,281_.jpg","Comedy"
"1662748962-165","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=2&sort=moviemeter,asc","51.","The Return of Sam McCloud","(1989 TV Movie)","6,2","Ex-Marshal McCloud now is senator of New Mexico, fighting for a new environment law. His enemy is Maitland, unscrupulous owner of Chemtel, the world's most important chemical manufacturer. ...                See full summary »","null","The Return of Sam McCloud","https://www.imdb.com/title/tt0098192/?ref_=kw_li_tt","6,2","/10","115","https://m.media-amazon.com/images/M/MV5BNWI3ODJjYTctZTJjYS00MzA1LWIzY2EtZGU0MDBjNTRkZTNkXkEyXkFqcGdeQXVyMTk0MjQ3Nzk@._V1_QL75_UX190_CR0,15,190,281_.jpg","Action, Thriller"
"1662748970-166","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","50.","Ooh... You Are Awful","(1972)","5,7","Charlie Tully and womanizing Reggie Peek con two rich Italians out of £500,000, but during their flight out Charlie is arrested for conning an American and a dog. Reggie puts the money in a...                See full summary »","null","Ooh... You Are Awful","https://www.imdb.com/title/tt0068636/?ref_=kw_li_tt","5,7","/10","431","https://m.media-amazon.com/images/M/MV5BNmU1ZGJjN2MtOGFiZi00YzlmLThjMGMtMWY4ZGE3Y2M5Zjk0XkEyXkFqcGdeQXVyMjIyNjE2NA@@._V1_QL75_UY281_CR1,0,190,281_.jpg","Comedy"
"1662748974-167","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","49.","Diana","(2021 TV Movie)","7,4","A definitive portrait of Princess Diana, marking what would have been her 60th birthday, piecing together her incredible journey from being a teenage Pimlico nursery assistant to finding her voice as the Princess of Wales.","null","Diana","https://www.imdb.com/title/tt14827288/?ref_=kw_li_tt","7,4","/10","35","https://m.media-amazon.com/images/M/MV5BYjIzNmUwYjQtOWRmZC00YjYxLTk3MDItMzNlNzA2ZDcxODZiXkEyXkFqcGdeQXVyODEwNDQ0Mzc@._V1_QL75_UY281_CR12,0,190,281_.jpg","Documentary, Biography, History"
"1662748978-168","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","48.","Dark Horse","(2015)","7,3","An inspirational true story of a group of friends from a working men's club who decide to take on the elite 'sport of kings' and breed themselves a racehorse","null","Dark Horse","https://www.imdb.com/title/tt4137902/?ref_=kw_li_tt","7,3","/10","1,2 mil","https://m.media-amazon.com/images/M/MV5BMTc0MDgxNzkxMV5BMl5BanBnXkFtZTgwNjg2MTI4ODE@._V1_QL75_UX190_CR0,0,190,281_.jpg","Documentary, Drama, Sport"
"1662748982-169","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","47.","Escondendo a Grana","(1970)","5,4","Based on the play by Joe Orton, this film follows the adventures of two pals who have pulled off a bank robbery and have to hide the loot. Fortunately one of them works in a funeral parlor ...                See full summary »","null","Escondendo a Grana","https://www.imdb.com/title/tt0066002/?ref_=kw_li_tt","5,4","/10","547","https://m.media-amazon.com/images/M/MV5BMzRmZGYxZGUtNDNjMS00YzU3LWEwOTItNThiMTJmMTVlMTNiXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_QL75_UX190_CR0,2,190,281_.jpg","Comedy, Crime"
"1662748986-170","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","46.","Tanna","(2015)","6,9","Set on a remote Pacific island, covered in rain forest and dominated by an active volcano, this heartfelt story, enacted by the Yakel tribe, tells of a sister's loyalty, a forbidden love affair and the pact between the old ways and the new.","null","Tanna","https://www.imdb.com/title/tt4239726/?ref_=kw_li_tt","6,9","/10","4,5 mil","https://m.media-amazon.com/images/M/MV5BMjEwNjEzOTU0OV5BMl5BanBnXkFtZTgwMjYyMzQ3NjE@._V1_QL75_UX190_CR0,0,190,281_.jpg","Adventure, Drama, Romance"
"1662748990-171","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","45.","Unlawful Killing","(2011)","7,5","A documentary about the allegedly conspiratorial killing of Diana, Princess of Wales and Dodi Fayed","null","Unlawful Killing","https://www.imdb.com/title/tt1979385/?ref_=kw_li_tt","7,5","/10","360","https://m.media-amazon.com/images/M/MV5BNGJjNzAyMDUtYTczMS00NzM3LWFlN2ItMGFjMmQ2NzlmNDc2XkEyXkFqcGdeQXVyMTYzNTE3NDA@._V1_QL75_UX190_CR0,0,190,281_.jpg","Documentary"
"1662748994-172","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","44.","A Fúria de um Bruto","(1960)","7,1","A cosmetic salesman sets out to prove to himself and his wife that he is not a failure.","null","A Fúria de um Bruto","https://www.imdb.com/title/tt0054115/?ref_=kw_li_tt","7,1","/10","1,5 mil","https://m.media-amazon.com/images/M/MV5BYjlhMWZiZTMtMDM1My00N2M4LTkxMTktYjNmNjMzMmQ0ZTFhXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_QL75_UX190_CR0,2,190,281_.jpg","Crime, Drama, Thriller"
"1662748997-173","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","43.","Vivo e Azarado Como Nunca","(1998)","5,0","When the doctors tell Harry Sterndale to get his affairs in order, he does just that - with a vengeance. With nothing to lose, Harry is out to give everyone who ever ""done him wrong"" something to remember him by: exactly what they deserve.","null","Vivo e Azarado Como Nunca","https://www.imdb.com/title/tt0123215/?ref_=kw_li_tt","5,0","/10","1 mil","https://m.media-amazon.com/images/M/MV5BOTZmNjhmODEtMWM3My00N2JmLWI2YzMtM2U5OGY2YTI5ODkzXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_QL75_UX190_CR0,2,190,281_.jpg","Comedy, Crime, Romance"
