titulo,titulo_avaliacao,titulo_votos,foto-src
Princess Margaret: The Rebel Royal,7.6,113.0,"https://m.media-amazon.com/images/M/MV5BYTdjZTEzMjItYTM5Zi00NzRlLTg1ODEtOGI1NzU2M2ZiNzY3XkEyXkFqcGdeQXVyNTgzMTg5Ng@@._V1_QL75_UY281_CR12,0,190,281_.jpg"
The Windsors: Inside the Royal Family,7.6,21.0,"https://m.media-amazon.com/images/M/MV5BNmRlYzJjMTUtNGY5NS00ODBmLWEzMzctNDMxNGQ0OTAzMGUyXkEyXkFqcGdeQXVyNDg5ODMzNTA@._V1_QL75_UX190_CR0,5,190,281_.jpg"
Corra que a Polícia vem Aí!,7.6,168.83,"https://m.media-amazon.com/images/M/MV5BYmRhZDY2MTQtMTQ3MC00YzMyLTlhMWEtMDUzZTZkN2Q5NDFkXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_QL75_UY281_CR6,0,190,281_.jpg"
Tales from the Royal Wardrobe,7.5,213.0,"https://m.media-amazon.com/images/M/MV5BMTU5NDQ4OTc2OV5BMl5BanBnXkFtZTgwNDYyNTYwNjE@._V1_QL75_UY281_CR11,0,190,281_.jpg"
Our Queen,7.5,42.0,"https://m.media-amazon.com/images/M/MV5BNzE5NzY3NTQ1N15BMl5BanBnXkFtZTgwMzg3Nzc3NTE@._V1_QL75_UY281_CR11,0,190,281_.jpg"
The Queen's Longest Reign: Elizabeth & Victoria,7.5,23.0,sem foto
Namedni s Leonidom Parfyonovym: 1946-1960,7.5,7.0,"https://m.media-amazon.com/images/M/MV5BZDY4NDk4YzgtZWUzMy00MDU0LWE0M2MtZDYzMDQzNDFiMjE1XkEyXkFqcGdeQXVyMTA2MTU3NDk1._V1_QL75_UX190_CR0,0,190,281_.jpg"
Juventude,7.3,78.526,"https://m.media-amazon.com/images/M/MV5BMjI2OTk5MzYyMl5BMl5BanBnXkFtZTgwMzY1MjE3NjE@._V1_QL75_UX190_CR0,0,190,281_.jpg"
The Queen,7.3,145.0,"https://m.media-amazon.com/images/M/MV5BNzA1MDM1NzU3MF5BMl5BanBnXkFtZTgwMzQ1MzcwMzE@._V1_QL75_UY281_CR93,0,190,281_.jpg"
In Their Own Words,7.2,51.0,"https://m.media-amazon.com/images/M/MV5BNGQ3YjFkNDYtNzdlYy00MTkzLWEyNjItNTg5MWY0ZTdmNzkyXkEyXkFqcGdeQXVyMTMwMTg1ODQw._V1_QL75_UX190_CR0,2,190,281_.jpg"
Kings and Queens,7.2,22.0,"https://m.media-amazon.com/images/M/MV5BMjY0ODI2YWEtNjVhZC00YjQ2LTg2YzQtOTgyM2Y4MTNmNGM5XkEyXkFqcGdeQXVyMTI4MjY2MQ@@._V1_QL75_UY281_CR5,0,190,281_.jpg"
The British,7.2,182.0,"https://m.media-amazon.com/images/M/MV5BMTcxNjc0ODg4OV5BMl5BanBnXkFtZTcwOTYwODk3OA@@._V1_QL75_UY281_CR4,0,190,281_.jpg"
Wimbledon Championships 2010,7.2,14.0,"https://m.media-amazon.com/images/M/MV5BYTg1MjE0ZmMtMTFjMy00Y2Y0LThmZjItYzY1YWI4ZTYyMDM0XkEyXkFqcGdeQXVyMTgxOTIzNzk@._V1_QL75_UY281_CR4,0,190,281_.jpg"
O Bode Expiatório,7.2,4.734,"https://m.media-amazon.com/images/M/MV5BMmI3OTI1MmQtYjY1NC00NWIzLWEwOGItNjBmMWZmNGQ2OWQyXkEyXkFqcGdeQXVyMDY4MzkyNw@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
The Diamond Queen,7.2,85.0,"https://m.media-amazon.com/images/M/MV5BMTkyNTMyOTkyNV5BMl5BanBnXkFtZTcwMzQ3NzgzNw@@._V1_QL75_UY281_CR155,0,190,281_.jpg"
Bertie e Elizabeth,7.1,638.0,"https://m.media-amazon.com/images/M/MV5BNjcyMTk5MDg1Ml5BMl5BanBnXkFtZTcwNzkyOTcyMQ@@._V1_QL75_UY281_CR4,0,190,281_.jpg"
M*A*S*H,7.1,456.0,"https://m.media-amazon.com/images/M/MV5BNTY1MjA2ZjUtMDU1YS00ZjBlLWJiN2MtZTViNjEwYjU1MzgxXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UX190_CR0,2,190,281_.jpg"
Os Simpsons,7.0,1.595,"https://m.media-amazon.com/images/M/MV5BYjFkMTlkYWUtZWFhNy00M2FmLThiOTYtYTRiYjVlZWYxNmJkXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UX190_CR0,2,190,281_.jpg"
A Queen Is Crowned,7.0,118.0,"https://m.media-amazon.com/images/M/MV5BZmVjY2NhN2YtZTcwZi00Y2Y1LTliMjEtZjg0ODlhOGQ1YTJmXkEyXkFqcGdeQXVyMjIyNjE2NA@@._V1_QL75_UY281_CR1,0,190,281_.jpg"
MasterChef Australia,7.0,7.0,"https://m.media-amazon.com/images/M/MV5BYmJiMGIwMWYtMzZmOS00NGEyLWE2ZjktOWM0NDdjNTgzZTBjXkEyXkFqcGdeQXVyMTAwMzM3NDI3._V1_QL75_UY281_CR1,0,190,281_.jpg"
Elizabeth Is Queen,6.8,11.0,"https://m.media-amazon.com/images/M/MV5BOGM5ZWQ2ZmItNjVhMy00YjU4LTg0M2MtOGYzZDI5ZmE3NjIwXkEyXkFqcGdeQXVyMDY4MzkyNw@@._V1_QL75_UX190_CR0,3,190,281_.jpg"
Royal Wives at War,6.7,118.0,"https://m.media-amazon.com/images/M/MV5BOWVlZDg1MGItYWMzMi00ZTJmLWIxMDQtYWQxYTkzYWFhYWE5XkEyXkFqcGdeQXVyNjAxODQ0NDY@._V1_QL75_UY281_CR93,0,190,281_.jpg"
Tardisodes,6.7,35.0,"https://m.media-amazon.com/images/M/MV5BMTY3NzY4NDA2M15BMl5BanBnXkFtZTgwNzY4MDgwNDE@._V1_QL75_UY281_CR93,0,190,281_.jpg"
Doctor Who,6.7,6.514,"https://m.media-amazon.com/images/M/MV5BZWJhYjFmZDEtNTVlYy00NGExLWJhZWItNTAxODY5YTc3MDFmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UY281_CR5,0,190,281_.jpg"
No Small Parts,6.7,14.0,"https://m.media-amazon.com/images/M/MV5BOWY2OGY3MjktMDA1Ny00NDJkLTllMTEtMWVhNjg1MWQ2YmQ3XkEyXkFqcGdeQXVyNDYzNjU3ODM@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Born to Royalty,6.6,7.0,"https://m.media-amazon.com/images/M/MV5BMTAzNzE3MzIwNTZeQTJeQWpwZ15BbWU4MDYxMjgwNjAx._V1_QL75_UY281_CR4,0,190,281_.jpg"
John and Julie,6.5,255.0,"https://m.media-amazon.com/images/M/MV5BZDRjNDBlN2YtNTY5Ny00NzQ5LWI0N2UtY2IzMTA1ZmIyNjE2XkEyXkFqcGdeQXVyMDY4MzkyNw@@._V1_QL75_UY281_CR3,0,190,281_.jpg"
Elizabeth Windsor,6.5,77.0,"https://m.media-amazon.com/images/M/MV5BMzJjZGViNDItNDc0ZS00NGVhLTk2MDYtYTQxMmIzY2VlNmEyXkEyXkFqcGdeQXVyMjg5NDIxMjE@._V1_QL75_UY281_CR0,0,190,281_.jpg"
Une nuit à l'opéra,6.5,206.0,"https://m.media-amazon.com/images/M/MV5BNDkyODUzN2QtZTRhZi00OWJiLTk0YjUtZTdjMTFmZTQ3ZDUwXkEyXkFqcGdeQXVyMTIzNTg0ODM2._V1_QL75_UY281_CR5,0,190,281_.jpg"
Queen Elizabeth II: The Diamond Celebration,6.5,104.0,"https://m.media-amazon.com/images/M/MV5BMjI2NjgzMDY2NV5BMl5BanBnXkFtZTgwMzgxODQzMzE@._V1_QL75_UY281_CR4,0,190,281_.jpg"
The Queen and Her Prime Ministers,6.5,16.0,"https://m.media-amazon.com/images/M/MV5BYzQxNWMwY2YtODNjZS00YWQ5LTg1OWQtYTliNDg0ZDY0NjE1XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_QL75_UY281_CR11,0,190,281_.jpg"
A Very Royal Wedding,6.4,14.0,"https://m.media-amazon.com/images/M/MV5BMWU1ZTJhNjEtNjA5Yi00ZTFmLWI1OWYtY2EzNmQ2YWUzY2Y1XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_QL75_UY281_CR11,0,190,281_.jpg"
Just One Blood,6.3,10.0,"https://m.media-amazon.com/images/M/MV5BMjExODAzNTEtZDQ5MC00MmFhLWI2M2MtZDVlZDVhNWY3MmVhXkEyXkFqcGdeQXVyNTUwMDg4NTQ@._V1_QL75_UY281_CR5,0,190,281_.jpg"
O Dia Fatal,6.1,652.0,"https://m.media-amazon.com/images/M/MV5BNGI3MTg5MjMtOWNmMS00ZTRkLWJjMmMtZjI4NjRhNjI5YTFjXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_QL75_UX190_CR0,9,190,281_.jpg"
The Queen at 90,6.1,8.0,"https://m.media-amazon.com/images/M/MV5BN2Q4MDExYTItYzkzZS00YTZlLThkMGYtOTAyMDhkNzEyZTkwXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_QL75_UY281_CR177,0,190,281_.jpg"
Queen of the World,6.0,87.0,"https://m.media-amazon.com/images/M/MV5BZjM4YTNmYTQtOTRmZS00NzEyLWIyYTktNzYxYzE2NDhlMzZiXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_QL75_UX190_CR0,5,190,281_.jpg"
Golden Anniversary,5.9,60.0,"https://m.media-amazon.com/images/M/MV5BMjA3Nzg5MjY0N15BMl5BanBnXkFtZTcwOTMxMzAyMQ@@._V1_QL75_UX190_CR0,13,190,281_.jpg"
Elizabeth: A Portrait in Part(s),5.7,342.0,"https://m.media-amazon.com/images/M/MV5BNzM3MjUyMGMtYWNiYy00ZjczLWE4MzktNWM5YzRhOGYxNjZlXkEyXkFqcGdeQXVyMTUyMTgzNjY4._V1_QL75_UX190_CR0,2,190,281_.jpg"
