titulo,titulo_avaliacao,titulo_votos,foto-src
The Queen at 80,9.3,40.0,"https://m.media-amazon.com/images/M/MV5BMjEyMTM0MTQ4M15BMl5BanBnXkFtZTcwNDY3NjY0MQ@@._V1_QL75_UY281_CR165,0,190,281_.jpg"
The Crown,8.7,196.882,"https://m.media-amazon.com/images/M/MV5BZmY0MzBlNjctNTRmNy00Njk3LWFjMzctMWQwZDAwMGJmY2MyXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Selbstbedienung,8.7,12.0,sem foto
Play for Today,8.7,66.0,"https://m.media-amazon.com/images/M/MV5BNDhjOTE3YmYtNThjMC00MjdiLWFkZWMtNTM4ZjBkM2FhNDgzXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_QL75_UX190_CR0,1,190,281_.jpg"
National Theatre Live: The Audience,8.5,478.0,"https://m.media-amazon.com/images/M/MV5BNjE3MjYyYmQtZGZlYi00NDA4LTgzYzYtOWVhYjFmN2MxOGY3XkEyXkFqcGdeQXVyNjczMzgwMDg@._V1_QL75_UY281_CR0,0,190,281_.jpg"
What's My Line?,8.4,46.0,"https://m.media-amazon.com/images/M/MV5BNGQ2MDM0NWEtOGQ1YS00NzVkLTgyOTUtMjM5Njk4ZWZlY2MzXkEyXkFqcGdeQXVyMjQzOTk0NzU@._V1_QL75_UX190_CR0,2,190,281_.jpg"
Penelope Keith at Her Majesty's Service,8.3,31.0,sem foto
Last Week Tonight with John Oliver,8.3,316.0,"https://m.media-amazon.com/images/M/MV5BYTE2MTcwZmYtNDk2OC00YzkwLTllYjgtMmJkODczZTkxNjllXkEyXkFqcGdeQXVyMTMxNjUyMDkx._V1_QL75_UX190_CR0,0,190,281_.jpg"
Segredos da Realeza,8.2,10.0,"https://m.media-amazon.com/images/M/MV5BODc0YjFlNTQtNzMxYi00YzllLTljZjktNjY3NzU3YWEwMjM0XkEyXkFqcGdeQXVyMTAwMzM3NDI3._V1_QL75_UX190_CR0,2,190,281_.jpg"
A-ha: Forever Not Yours,8.2,33.0,"https://m.media-amazon.com/images/M/MV5BNzA5NGMwZGMtM2I2ZC00OTA2LThlMjktODYxZjE4NjJlMzhmXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_QL75_UY190_CR11,0,190,190_.jpg"
IMDb Cheat Sheet,8.2,49.0,"https://m.media-amazon.com/images/M/MV5BY2RhZGE1YWQtMTMxNy00NmJhLTgwMmMtNzhiZTU4ZmRlYTNmXkEyXkFqcGdeQXVyODQxODMzNjQ@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Mind Your Language,8.1,111.0,"https://m.media-amazon.com/images/M/MV5BYmU2YmMyZTctNjc0My00ODc4LTkzYWMtYjdhOTg4NTMxY2ExXkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_QL75_UY281_CR1,0,190,281_.jpg"
O Discurso do Rei,8.0,676.67,"https://m.media-amazon.com/images/M/MV5BZjllYjUyZTktN2RkOS00ZjRmLTg0ZTMtZjRjNTZlZTZkZDk1XkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_QL75_UY281_CR4,0,190,281_.jpg"
Private Lives of the Windsors,8.0,16.0,"https://m.media-amazon.com/images/M/MV5BODgzNzdlYzgtNWRjMS00ZGVlLWI1NDEtZDNjMTdhNzIwYjJmXkEyXkFqcGdeQXVyMTAwMzM3NDI3._V1_QL75_UY281_CR1,0,190,281_.jpg"
The Queen by Rolf,8.0,14.0,sem foto
The Queen in Australia,7.9,11.0,"https://m.media-amazon.com/images/M/MV5BMmIyNzlmYTUtZmM5Zi00NGI5LTlkNTYtMzE2YmJkMDg4MzljXkEyXkFqcGdeQXVyMjk3ODk1MzU@._V1_QL75_UX190_CR0,58,190,281_.jpg"
All Creatures Great & Small,7.8,52.0,"https://m.media-amazon.com/images/M/MV5BMjIxOTc1Mjc1OF5BMl5BanBnXkFtZTcwMjU1NzA0Mw@@._V1_QL75_UY281_CR5,0,190,281_.jpg"
Queen & Country,7.8,19.0,"https://m.media-amazon.com/images/M/MV5BNDkyNjU3ODYxOV5BMl5BanBnXkFtZTcwNzM5ODk2Nw@@._V1_QL75_UY281_CR46,0,190,281_.jpg"
Our Queen at Ninety,7.8,74.0,"https://m.media-amazon.com/images/M/MV5BNjU4ZmU1MDktNDM5ZS00NGE1LTkxZDItMTFlOTJhYTk0NDlmXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_QL75_UY281_CR11,0,190,281_.jpg"
The Coronation,7.7,101.0,"https://m.media-amazon.com/images/M/MV5BZjdhZGUwMDEtOTUwYi00NjZhLTk5YTgtMGM5NmIwY2M4YzkzXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_QL75_UY281_CR93,0,190,281_.jpg"
Buffy Sainte-Marie: A Multimedia Life,7.7,15.0,sem foto
Princess Alice: The Royals' Greatest Secret,7.7,10.0,"https://m.media-amazon.com/images/M/MV5BM2VjNmMzYzktM2Q5Ny00OTE5LTk0NWYtZGFmN2RkYjQzMDA3XkEyXkFqcGdeQXVyNTgzMTg5Ng@@._V1_QL75_UY281_CR155,0,190,281_.jpg"
Faberge: A Life of Its Own,7.6,155.0,"https://m.media-amazon.com/images/M/MV5BMTkwODE3ODQ3M15BMl5BanBnXkFtZTgwODMzMDc0NTE@._V1_QL75_UX190_CR0,0,190,281_.jpg"
